trr_rd_no,statute,description,subject_no,trr_report_id
JD162418,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19941848,5373907
JD162418,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19941848,5373907
JD162407,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",19941838,5374003
JD162407,720 ILCS 5.0/24-5-B,POSS FIREARM W/DEFACED SERIAL NUMBER,19941838,5374003
JD162407,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19941838,5374003
JD162407,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19941838,5374003
JD162407,8-4-030,DRINKING ALCOHOL ON THE PUBLIC WAY,19941838,5374003
JD162407,9-80-180,OBSTRUCTION OF TRAFFIC BY NON-MOTORIST,19941838,5374003
JD163268,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19942256,5386263
JD163268,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19942256,5386263
JD163864,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$500,19942507,5390143
JD163864,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19942507,5390143
JD163864,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$500,19942507,5390412
JD163864,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19942507,5390412
JD164304,720 ILCS 5.0/12-2-A,AGGRAVATED ASSAULT/PUBLIC PROP,19942670,5396479
JD164304,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19942670,5396479
JD164433,720 ILCS 5.0/21-3-A-3,CRIMINAL TRESPASS - REMAIN ON LAND,19942722,5399632
JD164433,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19942722,5399632
JD164433,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19942722,5399632
JD164433,720 ILCS 5.0/21-3-A-3,CRIMINAL TRESPASS - REMAIN ON LAND,19942722,5399733
JD164433,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19942722,5399733
JD164433,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19942722,5399733
JD165031,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,19942915,5402492
JD165031,720 ILCS 5.0/24-1.1-A,UUW - WEAPON - FELON POSS/USE FIREARM/PAROLE,19942915,5402492
JD165031,720 ILCS 5.0/24-1.6-A-1,AGG UUW/VEH/PREV CONVICTION,19942915,5402492
JD165031,730 ILCS 5.0/3-3-9,VIOLATION OF PAROLE,19942915,5402492
JD165565,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19943059,5411229
JD165565,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19943059,5411229
JD165565,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19943059,5411229
JD165565,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19943059,5411383
JD165565,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19943059,5411383
JD165565,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19943059,5411383
JD165903,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,19943159,5411771
JD166345,625 ILCS 5.0/11-502-A,IVC - TRANS/CARRY ALC LIQ/DRIVER,19943405,5415123
JD166345,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,19943405,5415123
JD166345,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19943405,5415123
JD166345,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19943405,5415123
JD166345,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19943405,5415123
JD166345,9-76-090,PARKED VEHICLES-LIGHTING REGULATIONS,19943405,5415123
JD166345,625 ILCS 5.0/11-502-A,IVC - TRANS/CARRY ALC LIQ/DRIVER,19943405,5415130
JD166345,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,19943405,5415130
JD166345,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19943405,5415130
JD166345,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19943405,5415130
JD166345,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19943405,5415130
JD166345,9-12-060(B),"LANE,MASS TRANS-OTHR VEH USING",19943405,5415130
JD166345,9-76-090,PARKED VEHICLES-LIGHTING REGULATIONS,19943405,5415130
JD167525,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,19943931,5426027
JD167774,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19944016,5431677
JD167774,720 ILCS 5.0/21-3-A-1,CRIMINAL TRESPASS TO REAL PROPERTY,19944016,5431677
JD167774,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19944016,5431677
JD167774,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19944016,5432471
JD167774,720 ILCS 5.0/21-3-A-1,CRIMINAL TRESPASS TO REAL PROPERTY,19944016,5432471
JD167774,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19944016,5432471
JD168124,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19944128,5435300
JD168124,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19944128,5435300
JD168124,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19944128,5435300
JD168124,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19944128,5435300
JD168124,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19944128,5435532
JD168124,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19944128,5435532
JD168124,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19944128,5435532
JD168124,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19944128,5435532
JD168124,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19944128,5435706
JD168124,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19944128,5435706
JD168124,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19944128,5435706
JD168124,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19944128,5435706
JD168589,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19944301,5436888
JD168193,10-8-526,CTA - UNSAFE COND/CROSS BETWEEN CARS (98-126-1.6A),19944287,5437745
JD168193,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19944287,5437745
JD168193,720 ILCS 550.0/4-C,POSS CAN/>30-100 GRAM/1ST,19944287,5437745
JD168193,720 ILCS 550.0/5-D,CANNABIS - MFG/DEL - 30-500 GRMS,19944287,5437745
JD168193,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19944287,5437745
JD168193,10-8-526,CTA - UNSAFE COND/CROSS BETWEEN CARS (98-126-1.6A),19944287,5437763
JD168193,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19944287,5437763
JD168193,720 ILCS 550.0/4-C,POSS CAN/>30-100 GRAM/1ST,19944287,5437763
JD168193,720 ILCS 550.0/5-D,CANNABIS - MFG/DEL - 30-500 GRMS,19944287,5437763
JD168193,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19944287,5437763
JD168682,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19944386,5437764
JD168682,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,19944386,5437764
JD168669,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19944373,5437795
JD168669,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,19944373,5437795
JD168669,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,19944373,5437795
JD168669,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19944373,5437795
JD169107,430 ILCS 85.0/2-14,OPERATE WITHOUT INSURANCE,19944549,5442080
JD169107,625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/DRIVER,19944549,5442080
JD169107,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19944549,5442080
JD169107,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",19944549,5442080
JD169107,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19944549,5442080
JD169107,720 ILCS 550.0/5-D,CANNABIS - MFG/DEL - 30-500 GRMS,19944549,5442080
JD169107,720 ILCS 570.0/401-C-1,PCS - MFG/DEL 1<15 GR HEROIN/ANALOG,19944549,5442080
JD169107,720 ILCS 600.0/3.5-A,PCS - DRUG PARAPHERNALIA - POSSESS,19944549,5442080
JD169028,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19944546,5443215
JD169028,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19944546,5443439
JD169418,10-8-480,REFUSE - LITTER/ LIQUIDS ON PUB. WAY/WATER WAY,19944621,5443518
JD169418,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19944621,5443518
JD169418,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",19944621,5443518
JD169418,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19944621,5443518
JD169418,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19944621,5443518
JD169303,430 ILCS 65.0/2-A-1,FIREARM W/O VALID FOID/ELIG,19944577,5443629
JD169303,720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,19944577,5443629
JD169303,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19944577,5443629
JD169660,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",19944745,5444258
JD169660,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",19944745,5444923
JD169804,625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/DRIVER,19944793,5445168
JD169804,625 ILCS 5.0/3-707-A,OPERATE UNINSURED MTR VEHICLE,19944793,5445168
JD169804,625 ILCS 5.0/6-101,UNLICENSED,19944793,5445168
JD169804,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19944793,5445168
JD169804,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19944793,5445168
JD169804,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19944793,5445168
JD169804,625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/DRIVER,19944793,5445503
JD169804,625 ILCS 5.0/3-707-A,OPERATE UNINSURED MTR VEHICLE,19944793,5445503
JD169804,625 ILCS 5.0/6-101,UNLICENSED,19944793,5445503
JD169804,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19944793,5445503
JD169804,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19944793,5445503
JD169804,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19944793,5445503
JD169871,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19944868,5445970
JD169871,720 ILCS 5.0/26-1-A-1,DISORDERLY CONDUCT - BREACH OF PEACE,19944868,5445970
JD169712,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,19944839,5445972
JD169712,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$500,19944839,5445972
JD169712,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19944839,5445972
JD169712,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,19944839,5446027
JD169712,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$500,19944839,5446027
JD169712,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19944839,5446027
JD169812,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19944849,5446067
JD169961,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19944945,5447441
JD169961,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19944945,5447441
JD169961,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19944945,5447705
JD169961,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19944945,5447705
JD169961,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19944945,5447710
JD169961,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19944945,5447710
JD170240,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945070,5449926
JD170240,720 ILCS 570.0/401-C-1,PCS - MFG/DEL 1<15 GR HEROIN/ANALOG,19945070,5449926
JD170240,720 ILCS 570.0/401-C-2,PCS - MFG/DEL1<15 GR COCAINE/ANLG,19945070,5449926
JD170366,720 ILCS 5.0/9-1-A-1,MURDER - FIRST DEGREE,19945206,5453112
JD170750,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945281,5453719
JD170750,720 ILCS 570.0/402-A-7.5-A-II,PCS - POSSESSION - 15>200 PILLS ECSTACY/ANALOG,19945281,5453719
JD170770,625 ILCS 5.0/3-707-A,OPERATE UNINSURED MTR VEHICLE,19945272,5454088
JD170770,625 ILCS 5.0/4-104-A-4,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,19945272,5454088
JD170770,625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,19945272,5454088
JD170770,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19945272,5454088
JD170770,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945272,5454088
JD170770,720 ILCS 550.0/4-C,POSS CAN/>30-100 GRAM/1ST,19945272,5454088
JD170770,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19945272,5454088
JD170770,625 ILCS 5.0/3-707-A,OPERATE UNINSURED MTR VEHICLE,19945272,5454207
JD170770,625 ILCS 5.0/4-104-A-4,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,19945272,5454207
JD170770,625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,19945272,5454207
JD170770,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19945272,5454207
JD170770,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945272,5454207
JD170770,720 ILCS 550.0/4-C,POSS CAN/>30-100 GRAM/1ST,19945272,5454207
JD170770,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19945272,5454207
JD170770,625 ILCS 5.0/3-707-A,OPERATE UNINSURED MTR VEHICLE,19945272,5454251
JD170770,625 ILCS 5.0/4-104-A-4,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,19945272,5454251
JD170770,625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,19945272,5454251
JD170770,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19945272,5454251
JD170770,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945272,5454251
JD170770,720 ILCS 550.0/4-C,POSS CAN/>30-100 GRAM/1ST,19945272,5454251
JD170770,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19945272,5454251
JD170770,625 ILCS 5.0/3-707-A,OPERATE UNINSURED MTR VEHICLE,19945272,5454502
JD170770,625 ILCS 5.0/4-104-A-4,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,19945272,5454502
JD170770,625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,19945272,5454502
JD170770,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19945272,5454502
JD170770,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945272,5454502
JD170770,720 ILCS 550.0/4-C,POSS CAN/>30-100 GRAM/1ST,19945272,5454502
JD170770,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),19945272,5454502
JD170821,720 ILCS 5.0/24-1.7-A,ARMED HABITUAL CRIMINAL,19945328,5454515
JD170821,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945328,5454515
JD170821,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19945328,5454515
JD170821,9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,19945328,5454515
JD170821,720 ILCS 5.0/24-1.7-A,ARMED HABITUAL CRIMINAL,19945328,5454656
JD170821,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945328,5454656
JD170821,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19945328,5454656
JD170821,9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,19945328,5454656
JD170821,720 ILCS 5.0/24-1.7-A,ARMED HABITUAL CRIMINAL,19945328,5454679
JD170821,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945328,5454679
JD170821,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19945328,5454679
JD170821,9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,19945328,5454679
JD170821,720 ILCS 5.0/24-1.7-A,ARMED HABITUAL CRIMINAL,19945328,5454938
JD170821,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945328,5454938
JD170821,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19945328,5454938
JD170821,9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,19945328,5454938
JD171292,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19945520,5460521
JD171292,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19945520,5460521
JD171292,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945520,5460521
JD171373,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19945550,5461042
JD171373,720 ILCS 5.0/12-3.4-A-1,VIOLATE ORDER PROTECTION,19945550,5461042
JD171373,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945550,5461042
JD171456,720 ILCS 5.0/12-2-B-4.1,AGG ASSAULT PEACE OFF/FIRE/ER WRK,19945562,5462105
JD171456,720 ILCS 5.0/12-4-A,AGG BATT/HARM/POLICE/DOC/DHS,19945562,5462105
JD171541,720 ILCS 5.0/24-1.1-A,UUW - WEAPON - FELON POSS/USE FIREARM/PAROLE,19945581,5462278
JD171541,720 ILCS 5.0/24-1.7-A,ARMED HABITUAL CRIMINAL,19945581,5462278
JD171541,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945581,5462278
JD171541,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19945581,5462278
JD171541,9-76-210(A),BROKEN/INOPERABLE LAMPS,19945581,5462278
JD171292,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19945520,5462324
JD171292,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19945520,5462324
JD171292,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945520,5462324
JD171292,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19945520,5462385
JD171292,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,19945520,5462385
JD171292,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945520,5462385
JD171541,720 ILCS 5.0/24-1.1-A,UUW - WEAPON - FELON POSS/USE FIREARM/PAROLE,19945581,5462514
JD171541,720 ILCS 5.0/24-1.7-A,ARMED HABITUAL CRIMINAL,19945581,5462514
JD171541,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945581,5462514
JD171541,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,19945581,5462514
JD171541,9-76-210(A),BROKEN/INOPERABLE LAMPS,19945581,5462514
JD171373,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19945550,5462756
JD171373,720 ILCS 5.0/12-3.4-A-1,VIOLATE ORDER PROTECTION,19945550,5462756
JD171373,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945550,5462756
JD171373,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19945550,5462928
JD171373,720 ILCS 5.0/12-3.4-A-1,VIOLATE ORDER PROTECTION,19945550,5462928
JD171373,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945550,5462928
JD171373,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19945550,5463219
JD171373,720 ILCS 5.0/12-3.4-A-1,VIOLATE ORDER PROTECTION,19945550,5463219
JD171373,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945550,5463219
JD171373,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,19945550,5463221
JD171373,720 ILCS 5.0/12-3.4-A-1,VIOLATE ORDER PROTECTION,19945550,5463221
JD171373,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945550,5463221
JD171847,720 ILCS 5.0/12-2-B-7,AGG ASSAULT/STATE OF IL EMP,19945666,5463393
JD171847,9-60-050,PEDESTRIAN TO YIELD RIGHT OF WAY,19945666,5463393
JD171794,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19945637,5463679
JD171794,720 ILCS 5.0/21-3-A-1,CRIMINAL TRESPASS TO REAL PROPERTY,19945637,5463679
JD171794,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945637,5463679
JD171794,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19945637,5463679
JD171794,720 ILCS 600.0/3.5-A,PCS - DRUG PARAPHERNALIA - POSSESS,19945637,5463679
JD171794,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19945637,5464047
JD171794,720 ILCS 5.0/21-3-A-1,CRIMINAL TRESPASS TO REAL PROPERTY,19945637,5464047
JD171794,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945637,5464047
JD171794,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19945637,5464047
JD171794,720 ILCS 600.0/3.5-A,PCS - DRUG PARAPHERNALIA - POSSESS,19945637,5464047
JD171794,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,19945637,5464571
JD171794,720 ILCS 5.0/21-3-A-1,CRIMINAL TRESPASS TO REAL PROPERTY,19945637,5464571
JD171794,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945637,5464571
JD171794,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,19945637,5464571
JD171794,720 ILCS 600.0/3.5-A,PCS - DRUG PARAPHERNALIA - POSSESS,19945637,5464571
JD172060,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$500,19945782,5465068
JD172060,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945782,5465068
JD172060,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$500,19945782,5465155
JD172060,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945782,5465155
JD172134,520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19945832,5467853
JD172134,625 ILCS 5.0/11-204-A,IVC - FLEE/ATTEMPT ELUDE POLICE,19945832,5467853
JD172134,625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,19945832,5467853
JD172134,625 ILCS 5.0/6-303-A,DRIVING RVK/SUSP DUI/SSS 4-9,19945832,5467853
JD172134,720 ILCS 5.0/12-2-C-8,AGG ASSAULT/OP MOTOR VEH/PC OFF,19945832,5467853
JD172134,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19945832,5467853
JD172134,9-24-010(B),STOP AT STOP SIGN,19945832,5467853
JD172134,9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,19945832,5467853
JD172156,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,19945873,5469177
JD172156,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,19945873,5469177
JD172134,520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,19945832,5469924
JD172134,625 ILCS 5.0/11-204-A,IVC - FLEE/ATTEMPT ELUDE POLICE,19945832,5469924
JD172134,625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,19945832,5469924
JD172134,625 ILCS 5.0/6-303-A,DRIVING RVK/SUSP DUI/SSS 4-9,19945832,5469924
JD172134,720 ILCS 5.0/12-2-C-8,AGG ASSAULT/OP MOTOR VEH/PC OFF,19945832,5469924
JD172134,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,19945832,5469924
JD172134,9-24-010(B),STOP AT STOP SIGN,19945832,5469924
